tripnumber,date,RHDV,MV,Ints,SEffort,KTBA,POPAN,POPANlcl,POPANucl,Sincefirsttrip
60,25/02/2008,0,0,1.164,-0.588671674,109,161.6280833,128.7524258,194.5037408,3680
61,5/05/2008,0,1,1.489,0.036271717,70,104.8835921,77.99970938,131.7674747,3750
62,4/08/2008,0,0,0.565,-0.588671674,148,228.9086049,193.7441711,264.0730388,3841
63,8/09/2008,1,1,1.01,0.661215107,207,228.9085126,193.7495455,264.0674797,3876
64,10/11/2008,0,1,1.626,0.036271717,146,208.0815421,172.0778434,244.0852408,3939
65,16/02/2009,0,0,1.266,0.036271717,105,129.0608147,104.0840933,154.0375361,4037
66,4/05/2009,0,0,0.89,0.719621031,93,129.0602405,104.084677,154.035804,4114
67,29/06/2009,0,0,0.12,-1.190252694,176,183.7774542,147.084265,220.4706434,4170
68,7/07/2009,0,0,1.848,0.082996456,176,157.8815759,124.2016763,191.5614756,4178
69,26/10/2009,0,0,0.65,0.690418069,272,397.351005,349.0041652,445.6978449,4289
70,7/12/2009,0,0,1.249,0.690418069,223,306.1591514,263.1281389,349.1901639,4331
71,22/02/2010,0,1,1.609,1.157665463,168,239.0735036,200.2857062,277.8613011,4408
72,31/05/2010,0,1,1.01,1.157665463,156,215.4119101,177.8703019,252.9535183,4506
73,2/08/2010,1,1,1.027,0.433432002,214,303.0738209,255.3826511,350.7649908,4569
74,4/10/2010,0,0,0.274,1.601550488,274,285.2688086,244.6524599,325.8851572,4632
75,25/10/2010,0,0,0.548,0.246533044,201,250.9872359,211.443957,290.5305149,4653
76,29/11/2010,0,1,1.249,0.924041766,201,316.0173245,270.0605696,361.9740794,4688
77,14/02/2011,0,1,1.266,0.339982523,126,153.4049061,124.6864716,182.1233406,4765
78,2/05/2011,0,0,1.249,1.951986034,160,142.5793875,114.6124143,170.5463607,4842
79,19/07/2011,0,0,1.352,1.216071388,254,362.624556,311.2805973,413.9685147,4920
80,10/10/2011,0,1,0.53,1.274477312,342,482.2509738,428.0116161,536.4903315,5003
81,14/11/2011,0,0,1.489,1.216071388,254,361.1623251,311.9631543,410.3614959,5038
82,13/02/2012,0,0,1.01,1.274477312,158,196.008266,163.4076622,228.6088699,5129
83,16/04/2012,0,0,1.027,1.24527435,129,165.5334747,134.3013201,196.7656292,5192
84,19/06/2012,0,1,0.582,-0.956628997,107,96.44576918,76.26718501,116.6243533,5256
85,24/07/2012,0,1,0.787,-0.045496577,143,116.7643308,92.92170452,140.6069571,5291
86,10/09/2012,1,1,1.129,1.741724706,233,285.5696331,242.3987897,328.7404765,5339
87,19/11/2012,0,1,1.01,0.900679396,139,278.7435931,238.5135679,318.9736182,5409
88,21/01/2013,0,0,0.907,0.900679396,139,168.3491892,139.2820537,197.4163247,5472
89,18/03/2013,0,0,1.044,0.077155864,119,134.4716802,109.3306737,159.6126866,5528
90,20/05/2013,0,0,1.129,1.227752572,143,121.6499798,97.49223591,145.8077237,5591
91,30/07/2013,0,0,0.445,-0.711324115,267,320.3530747,278.5784295,362.1277199,5662
92,26/08/2013,1,0,1.164,1.204390203,289,315.2480395,268.1681316,362.3279473,5689
93,5/11/2013,0,0,0.65,1.110940724,221,268.8947486,230.507645,307.2818523,5760
94,16/12/2013,0,0,0.924,0.217330082,163,192.1542694,160.2230305,224.0855084,5801
95,10/02/2014,0,0,0.154,-0.67628056,136,132.2553021,107.9387477,156.5718566,5857
96,20/02/2014,0,0,0.77,-0.67628056,136,117.3450922,95.45536312,139.2348213,5867
97,7/04/2014,0,0,0.137,-0.723005299,178,118.281403,96.28073498,140.2820711,5913
98,16/04/2014,0,0,0.924,-0.723005299,178,135.6702067,111.0403611,160.3000523,5922
99,10/06/2014,0,0,0.89,1.274477312,294,403.9472715,356.9955319,450.899011,5977
100,4/08/2014,1,0,1.728,2.033754328,301,396.573511,342.6811499,450.465872,6032
101,17/11/2014,0,0,1.249,2.121363214,227,361.255264,311.384029,411.126499,6137
102,2/02/2015,0,1,0.907,1.157665463,93,105.3973298,83.35177788,127.4428816,6214
103,30/03/2015,0,1,0.924,0.304938968,86,105.3973896,83.35327785,127.4415013,6270
104,25/05/2015,0,0,0.89,2.150566176,98,71.01531634,52.23097483,89.79965785,6326
105,20/07/2015,1,0,1.609,1.204390203,177,211.1329102,173.2933885,248.972432,6382
106,26/10/2015,0,0,0.787,1.251114942,207,263.2726388,226.4762389,300.0690386,6480
107,14/12/2015,0,0,0.924,0.322460746,161,263.2498856,226.577829,299.9219422,6529
